Aaron,M,Biblical,"Mountain Of Strength"
Abana,F,Biblical,"Stony"
Abaddon,M,Biblical,"Ruin Destruction"
Abba,M,Biblical,"Father"
Abdeel,M,Biblical,"Servant Of God"
Abdiel,M,Biblical,"Servant Of God"
Abdon,M,Biblical,"Servitude"
Abednego,M,Biblical,"Servant Of Nebo"
Abel,M,Biblical,"Breath"
Abez,M,Biblical,"Shining"
Abi,M,Biblical,"Fatherly"
Abi,F,Biblical,"Fatherly"
Abia,M,Biblical,"God Is My Father"
Abia,F,Biblical,"God Is My Father"
Abiah,M,Biblical,"My Father Is Yahweh"
Abiah,F,Biblical,"My Father Is Yahweh"
Abiathar,M,Biblical,"Liberal Father"
Abida,M,Biblical,"Knowing"
Abida,F,Biblical,"Knowing"
Abidan,M,Biblical,"My Father Is Judge"
Abiel,M,Biblical,"God Is My Father"
Abigail,F,Biblical,"My Father Is Joy"
Abihu,M,Biblical,"He Is My Father"
Abijah,M,Biblical,"My Father Is Yahweh"
Abijah,F,Biblical,"My Father Is Yahweh"
Abilene,F,Biblical," "
Abimael,M,Biblical,"My Father Is God"
Abimelech,M,Biblical,"My Father Is King"
Abinoam,M,Biblical,"Delightful"
Abiram,M,Biblical,"My Father Is Exalted"
Abishag,F,Biblical,"My Father Strays"
Abishai,M,Biblical,"My Father Is A Gift"
Abishai,F,Biblical,"My Father Is A Gift"
Abital,F,Biblical,"My Father Is The Night Dew"
Abiud,F,Biblical,"Father Of Renown"
Abner,M,Biblical,"My Father Is A Light"
Abraham,M,Biblical,"Father Of Many"
Abram,M,Biblical,"High Father"
Absalom,M,Biblical,"My Father Is Peace"
Acacia,F,Biblical,"Thorny Tree"
Achaicus,M,Biblical,"From Achaia"
Achan,M,Biblical,"Trouble"
Achim,M,Biblical,"He Will Establish"
Achsah,F,Biblical,"Anklet"
Achshaph,M,Biblical,"Fascination"
Adah,F,Biblical,"Adornment"
Adaiah,M,Biblical,"God Has Adorned"
Adaiah,F,Biblical,"God Has Adorned"
Adalia,M,Biblical,"Yahweh Is Just"
Adam,M,Biblical,"Man"
Adamah,M,Biblical,"Red Earth"
Adamah,F,Biblical,"Red Earth"
Adin,M,Biblical,"Delicate"
Adin,F,Biblical,"Delicate"
Adina,M,Biblical,"Slender Delicate"
Adina,F,Biblical,"Slender Delicate"
Adino,M,Biblical,"Ornament"
Adlai,M,Biblical,"Yahweh Is Just"
Adnah,M,Biblical,"Delight Pleasure"
Adnah,F,Biblical,"Delight Pleasure"
Adonijah,M,Biblical,"My Lord Is Yahweh"
Adonikam,M,Biblical,"My Lord Arose"
Adoniram,M,Biblical,"My Lord Is Exalted"
Adria,F,Biblical,"Without Wood"
Adriel,M,Biblical,"Belonging To God"
Aeneas,M,Biblical,"Worthy Of Praise"
Aenon,M,Biblical,"Place Of Springs"
Agate,F,Biblical,"Loyal"
Agrippa,M,Biblical,"Wild Horse"
Agrippa,F,Biblical,"Wild Horse"
Ahab,M,Biblical,"Uncle"
Ahal,M,Biblical,"To Shine"
Ahal,F,Biblical,"To Shine"
Ahiezer,M,Biblical,"Helpful"
Ahijah,M,Biblical,"Friend Of God"
Ahikam,M,Biblical,"Rising"
Ahimaaz,M,Biblical,"Brother Of Anger"
Abiman,M,Biblical,"Liberal"
Ahimelech,M,Biblical,"Brother Of The King"
Ahimoth,M,Biblical,"Brother Of Death"
Ahinoam,F,Biblical,"My Brother Is Pleasant"
Ahira,M,Biblical,"Unlucky"
Ahira,F,Biblical,"Unlucky"
Ahishar,M,Biblical,"My Brother Sang."
Ahithophel,M,Biblical,"Brother Of Folly"
Ahithophel,F,Biblical,"Brother Of Folly"
Ahitub,M,Biblical,"Goodness"
Aholiab,M,Biblical,"Father's Tent"
Alexander,M,Biblical,"Defending Men"
Alexandria,F,Biblical,"Brave"
Aliyah,M,Biblical,"Lofty"
Aliyah,F,Biblical,"Lofty"
Allon,M,Biblical,"Oak"
Allon,F,Biblical,"Oak"
Alma,F,Biblical,"Virgin"
Alpha,M,Biblical,"First Letter"
Alpha,F,Biblical,"First Letter"
Alphaeus,M,Biblical,"Changing"
Alvah,M,Biblical,"His Highness"
Alvan,M,Biblical,"Lofty"
Amal,M,Biblical,"Work"
Amana,F,Biblical,"Support"
Amariah,M,Biblical,"Yahweh Has Said"
Amasai,M,Biblical,"Burdensome"
Amasiah,M,Biblical,"Burdon Of God"
Amber,F,Biblical,"Resin"
Amethyst,F,Biblical,"Prevents Intoxication"
Ami,M,Biblical,"Trustworthy Reliable"
Aminadab,M,Biblical,"My Princely People"
Amittai,M,Biblical,"My Truth"
Ammihud,M,Biblical,"People Of Splendor"
Ammiel,M,Biblical,"God Is My Kinsman"
Ammon,M,Biblical,"Tribal"
Amon,M,Biblical,"Builder"
Amnon,M,Biblical,"Faithful"
Amos,M,Biblical,"Carried"
Amoz,M,Biblical,"Strong"
Amram,M,Biblical,"Exalted Nation"
Amzi,M,Biblical,"My Strength"
Anah,F,Biblical,"Answer"
Anah,M,Biblical,"Answer"
Anaiah,M,Biblical,"Yahweh Answers"
Anan,M,Biblical,"Cloud"
Anani,M,Biblical,"My Cloud"
Ananiah,M,Biblical,"Protected By God"
Ananias,M,Biblical,"Yahweh Is Gracious"
Anath,M,Biblical,"Answer"
Andrew,M,Biblical,"Man"
Angel,M,Biblical,"Messenger Of God"
Angel,F,Biblical,"Messenger Of God"
Anise,F,Biblical,"Dill Plant"
Anna,F,Biblical,"Grace"
Annas,M,Biblical,"Yahweh Is Gracious"
Antonia,F,Biblical,"Praiseworthy"
Aphek,M,Biblical,"Fortress"
Apphia,F,Biblical,"Increasing"
Apollonia,F,Biblical,"Belonging To Apollo"
Apollos,M,Biblical,"Given By Apollo"
Aquila,F,Biblical,"Eagle"
Aquila,M,Biblical,"Eagle"
Aran,M,Biblical,"Wild Goat"
Archelaus,M,Biblical,"Master Of The People"
Archi,M,Biblical,"Lengthy"
Archippus,M,Biblical,"Master Of The Horse"
Arcturus,M,Biblical,"Bear Guard"
Ardon,M,Biblical,"Fugitive"
Areli,M,Biblical,"Lion Of God"
Aretas,M,Biblical,"Graver"
Aridai,M,Biblical," "
Aridatha,M,Biblical,"The Lion Of The Decree"
Arieh,M,Biblical,"Lion"
Ariel,M,Biblical,"Lion Of God"
Ariel,F,Biblical,"Lion Of God"
Arioch,M,Biblical,"Venerable"
Aristarchus,M,Biblical,"Best Ruler"
Arnon,M,Biblical,"Swift"
Arnon,F,Biblical,"Swift"
Arphaxad,M,Biblical,"Fortress"
Artaxerxes,M,Biblical,"Righteous Ruler"
Arumah,F,Biblical,"Height"
Arvad,M,Biblical,"Wandering"
Arza,M,Biblical,"Earthy"
Arza,F,Biblical,"Earthy"
Asa,M,Biblical,"Doctor"
Asa,F,Biblical,"Doctor"
Asaph,M,Biblical,"Collector"
Asareel,M,Biblical,"God Holds"
Asarelah,M,Biblical,"Upright Towards God"
Asarelah,F,Biblical,"Upright Towards God"
Asenath,F,Biblical,"Devoted To The Goddess Neith"
Ash,M,Biblical,"Ash Tree"
Ash,F,Biblical,"Ash Tree"
Ashbel,M,Biblical,"Flowing"
Ashbel,F,Biblical,"Flowing"
Ashdod,M,Biblical,"Powerful"
Asher,M,Biblical,"Blessed"
Ashkelon,M,Biblical,"Mart"
Ashkelon,F,Biblical,"Mart"
Ashkenaz,M,Biblical,"Spreading Fire"
Ashkenaz,F,Biblical,"Spreading Fire"
Ashnah,F,Biblical,"Changing"
Ashtoreth,F,Biblical,"Goddess Of Love War And Fertility"
Ashur,M,Biblical,"Black"
Atarah,F,Biblical,"Crown"
Athaliah,F,Biblical,"Afflicted Of Yahweh"
Athaliah,M,Biblical,"Afflicted Of Yahweh"
Attai,M,Biblical,"Timely"
Attalia,F,Biblical,"God's Due Season"
Augustus,M,Biblical,"Venerable"
Ava,F,Biblical,"Overturn"
Aven,M,Biblical,"Vanity"
Aven,F,Biblical,"Vanity"
Avim,M,Biblical,"Ruins"
Avim,F,Biblical,"Ruins"
Avital,F,Biblical,"My Father Is The Night Dew"
Avith,M,Biblical,"Ruins"
Avith,F,Biblical,"Ruins"
Azaliah,M,Biblical,"God Has Reserved"
Azaliah,F,Biblical,"God Has Reserved"
Azan,M,Biblical,"To Hear"
Azaniah,M,Biblical,"Whom The Lord Hears"
Azaniah,F,Biblical,"Whom The Lord Hears"
Azariah,M,Biblical,"Whom The Lord Helps"
Azariah,F,Biblical,"Whom The Lord Helps"
Azarel,M,Biblical,"God Has Helped"
Azaria,M,Biblical,"Yahweh Has Helped"
Azariah,M,Biblical,"Yahweh Has Helped"
Azazel,M,Biblical,"Scapegoat"
Azaziah,M,Biblical,"Yahweh Is Strong"
Azel,M,Biblical,"Reserved"
Azel,F,Biblical,"Reserved"
Aziel,M,Biblical,"Whom God Comforts"
Aziel,F,Biblical,"Whom God Comforts"
Aziza,M,Biblical,"Strong"
Aziza,F,Biblical,"Strong"
Askarah,M,Biblical,"Memorial Offering"
Azriel,M,Biblical,"Help Of God"
Azubah,F,Biblical,"Forsaken"
Bani,M,Biblical,"Built"
Bani,F,Biblical,"Built"
Barabbas,M,Biblical,"Son Of Abba"
Barachel,M,Biblical,"Whom God Has Blessed"
Barachias,M,Biblical,"Whom God Has Blessed"
Barak,M,Biblical,"Lightning"
Bariah,M,Biblical,"Fugitive"
Barjona,M,Biblical,"Son Of Jonas"
Barnabas,M,Biblical,"Son Of Consolation"
Barsabas,M,Biblical,"Son Of Sabas"
Bartholomew,M,Biblical,"Son Of Talmai"
Bartimaeus,M,Biblical,"Son Of Timeus"
Baruch,M,Biblical,"Blessed"
Basemath,F,Biblical,"Fragrance"
Bashemath,F,Biblical,"Fragrance"
Basmath,F,Biblical,"Fragrance"
Bathsheba,F,Biblical,"Daughter Of The Oath"
Becher,M,Biblical,"Young Camel"
Bechorath,M,Biblical,"First Born"
Bechorath,F,Biblical,"First Born"
Bedan,M,Biblical,"Son Of Judgement"
Beelzebub,M,Biblical,"Lord Of Flies"
Beeri,M,Biblical,"Illustrious"
Bela,M,Biblical,"Swallowed"
Bela,F,Biblical,"Swallowed"
Belial,M,Biblical,"Worthless"
