Giffard,England 1296
Pras,England 1296
Danseye,England 1296
Paruus,England 1296
Pras,England 1296
Tochet,England 1296
Le Warde,England 1296
Bate,England 1296
Clappechat,England 1296
Molendinarius,England 1296
Fin,England 1296
Prepositus,England 1296
Vidua,England 1296
Ad Pontem,England 1296
Molendinarii,England 1296
De Thy,England 1296
Fyn,England 1296
Monacus,England 1296
Ferbyhinde,England 1296
Bercarius,England 1296
Bele,England 1296
Carectarius,England 1296
Carucarius,England 1296
Aylflet,England 1296
Bercarius,England 1296
Foluile,England 1296
De Tatton,England 1296
Ad Fontem,England 1296
Marescall,England 1296
Palmere,England 1296
Cole,England 1296
Stori,England 1296
Bastard,England 1296
De Clinton,England 1296
Rowland,England 1296
Ad Scalam,England 1296
Euereard,England 1296
Bercarius,England 1296
Plaunk,England 1296
Norman,England 1296
Cuth,England 1296
Parson De Aston,England 1296
Murdak,England 1296
De Gretham,England 1296
Vidua,England 1296
Borens,England 1296
Pik,England 1296
Houtelawe,England 1296
De Laxton,England 1296
Verder,England 1296
Scot,England 1296
Wodelark,England 1296
De Blakenham,England 1296
Wloward,England 1296
De Hameslepp,England 1296
Haldeyn,England 1296
Capellanus,England 1296
De Oxendon,England 1296
De Hampton,England 1296
Waryn,England 1296
Prepositus,England 1296
Frater Eius,England 1296
De Neyuile,England 1296
De Neyuile,England 1296
Faber,England 1296
Ad Syket,England 1296
De Wynslawe,England 1296
Ad Ecclesiam,England 1296
De Marisco,England 1296
De Layton,England 1296
Rector Ecclesie,England 1296
Ad Siketam,England 1296
Ad Aulam,England 1296
De Ketene,England 1296
De Bello Campo,England 1296
De Wakerl,England 1296
Russel,England 1296
Freyne,England 1296
Bercarius,England 1296
Le Warde,England 1296
Le Carpenter,England 1296
Vidua,England 1296
Blound,England 1296
De Tokeby,England 1296
Le Mercer,England 1296
Blound,England 1296
Venator,England 1296
De Barowe,England 1296
De Bithisbrok,England 1296
Dode,England 1296
Prepositus,England 1296
Koc,England 1296
Bernard,England 1296
Cok,England 1296
Le Rouvile,England 1296
De Midilton,England 1296
Child,England 1296
Ad Fontem,England 1296
Bynethetoun,England 1296
Clericus,England 1296
De Seyton,England 1296
Erll,England 1296
De Aston,England 1296
Ad Crucem,England 1296
De Midilton,England 1296
Vicarius,England 1296
De Tynewell,England 1296
Palmer,England 1296
Bek,England 1296
Pert,England 1296
Scot,England 1296
Edelm,England 1296
De Bylisthorp,England 1296
Testard,England 1296
Molendinarius,England 1296
De Neyuile,England 1296
Russel,England 1296
Saleman,England 1296
Ad Aulam,England 1296
Colle,England 1296
Prepositus,England 1296
De Swafeld,England 1296
Pittot,England 1296
Hippe,England 1296
Kippe,England 1296
De Lye,England 1296
Faber,England 1296
Pulter,England 1296
De Ouirton,England 1296
De Lye,England 1296
Saleman,England 1296
Couentr,England 1296
De Gunthorp,England 1296
De Swafeld,England 1296
Le Warde,England 1296
De Belton,England 1296
Le Wayte,England 1296
Palmere,England 1296
De Mardefeld,England 1296
De Gunthorp,England 1296
Gardiner,England 1296
Prest,England 1296
Kyng,England 1296
Ad Pontem,England 1296
Bonde,England 1296
De Knossington,England 1296
Man,England 1296
King,England 1296
De Knoston,England 1296
Ad Crucem,England 1296
Braynd,England 1296
Diraunt,England 1296
Le Clauer,England 1296
Capellanus,England 1296
Gille,England 1296
De Segrave,England 1296
De Boroule,England 1296
Faber,England 1296
Fraunkeleyn,England 1296
Ad Parcum,England 1296
Carpentarius,England 1296
Atte Grene,England 1296
Dikeman,England 1296
Seriaunt,England 1296
Clericus,England 1296
Daui,England 1296
Rogers,England 1296
Wyteheuid,England 1296
Barnard,England 1296
In Venella,England 1296
Alkoc,England 1296
In Venella,England 1296
Boroule,England 1296
Wylymotis,England 1296
Bernard,England 1296
Dyot,England 1296
In Venella,England 1296
