Aablad,German 1872
Aacker,German 1872
Aagesen,German 1872
Aaler,German 1872
Aargaar,German 1872
Aaron,German 1872
Abbe,German 1872
Abboth,German 1872
Abe,German 1872
Abel,German 1872
Abele,German 1872
Abeles,German 1872
Abeloe,German 1872
Abenheimer,German 1872
Aberhard,German 1872
Aberschmidt,German 1872
Abesser,German 1872
Abhau,German 1872
Abiati,German 1872
Abild,German 1872
Abplanalp,German 1872
Abraham,German 1872
Abrahams,German 1872
Abrahamsan,German 1872
Abrahamsen,German 1872
Abrahamsohn,German 1872
Abrahanussen,German 1872
Abramczyk,German 1872
Abramowicz,German 1872
Abramowiec,German 1872
Abramowiez,German 1872
Abramowitz,German 1872
Abrams,German 1872
Abramszik,German 1872
Abricht,German 1872
Abromsky,German 1872
Abs,German 1872
Abt,German 1872
Abtmann,German 1872
Accola,German 1872
Achilles,German 1872
Achs,German 1872
Achterberg,German 1872
Acker,German 1872
Ackermann,German 1872
Ackermanner,German 1872
Ackermann--Furrer,German 1872
Adam,German 1872
Adamczyk,German 1872
Adams,German 1872
Adamska,German 1872
Adamski,German 1872
Adamsky,German 1872
Adamszewski,German 1872
Adelhardt,German 1872
Adelscha,German 1872
Adelsohn,German 1872
Aden,German 1872
Aderhold,German 1872
Adermann,German 1872
Aderz,German 1872
Adfelt,German 1872
Adix,German 1872
Adlansky,German 1872
Adler,German 1872
Adorna,German 1872
Adorno,German 1872
Adredat,German 1872
Adrian,German 1872
Adulkewicz,German 1872
Aeble,German 1872
Aebly,German 1872
Aellig,German 1872
Aeret,German 1872
Aesck,German 1872
Aeukens,German 1872
Afeldt,German 1872
Affeld,German 1872
Agdanowski,German 1872
Ageen,German 1872
Agele,German 1872
Agnes,German 1872
Agren,German 1872
Agsynsky,German 1872
Ahd,German 1872
Ahel,German 1872
Ahelmann,German 1872
Ahendroth,German 1872
Aherns,German 1872
Ahlbern,German 1872
Ahlers,German 1872
Ahlert,German 1872
Ahlfeld,German 1872
Ahlff,German 1872
Ahlgrim,German 1872
Ahlgruen,German 1872
Ahlhorn,German 1872
Ahling,German 1872
Ahmer,German 1872
Ahmling,German 1872
Ahnen,German 1872
Ahnfeld,German 1872
Ahrborn,German 1872
Ahrend,German 1872
Ahrends,German 1872
Ahrendsen,German 1872
Ahrendt,German 1872
Ahrenett,German 1872
Ahrens,German 1872
Ahrensdorf,German 1872
Ahrns,German 1872
Ahronsohn,German 1872
Aicher,German 1872
Aigner,German 1872
Ailler,German 1872
Ajani,German 1872
Aker,German 1872
Akerhilm,German 1872
Akker,German 1872
Akkulund,German 1872
Akottin,German 1872
Akunsky,German 1872
Alankiewicz,German 1872
Alaxander,German 1872
Albach,German 1872
Alber,German 1872
Alberg,German 1872
Albers,German 1872
Albersold,German 1872
Albert,German 1872
Alberten,German 1872
