Abanathy,US 1812
Abernathy,US 1812
Ackerman,US 1812
Ackles,US 1812
Ackless,US 1812
Acklin,US 1812
Adair,US 1812
Adams,US 1812
AdamsJ,US 1812
Adare,US 1812
Aday,US 1812
Adkins,US 1812
Agin,US 1812
Albright,US 1812
Aldridge,US 1812
Alexander,US 1812
Allen,US 1812
Allison,US 1812
Alman,US 1812
Almon,US 1812
Alter,US 1812
Amonet,US 1812
Anderson,US 1812
Andrew,US 1812
Anyan,US 1812
Applewhite,US 1812
Arbrough,US 1812
Ard,US 1812
Armstrong,US 1812
Arnold,US 1812
Arons,US 1812
Arundel,US 1812
Ashbarn,US 1812
Ashborn,US 1812
Ashburn,US 1812
Ashworth,US 1812
Aswell,US 1812
Atchison,US 1812
Atkins,US 1812
Atkinson,US 1812
Autry,US 1812
Avertegas,US 1812
Axely,US 1812
Axley,US 1812
Babb,US 1812
Badgely,US 1812
Baggs,US 1812
Bail,US 1812
Bailey,US 1812
Bails,US 1812
Baily,US 1812
Baimmie,US 1812
Baird,US 1812
Baker,US 1812
Baldridge,US 1812
Ballew,US 1812
Bankson,US 1812
Bankston,US 1812
Barbeau,US 1812
Barber,US 1812
Barbour,US 1812
Barboure,US 1812
Barefieldg,US 1812
Barnel,US 1812
Barnes,US 1812
Barnet,US 1812
Barnett,US 1812
Barnhart,US 1812
Barnsback,US 1812
Bart,US 1812
Bartlett,US 1812
Basey,US 1812
Basore,US 1812
Bass,US 1812
Bateman,US 1812
Battenhouse,US 1812
Bayles,US 1812
Bayless,US 1812
Bayne,US 1812
Beacon,US 1812
Beaman,US 1812
Bear,US 1812
Beard,US 1812
Beatt,US 1812
Beatty,US 1812
Beauvais,US 1812
Beck,US 1812
Beeman,US 1812
Belcher,US 1812
Bell,US 1812
Belsher,US 1812
Beman,US 1812
Bennet,US 1812
Bernard,US 1812
Bernett,US 1812
Berrimon,US 1812
Berry,US 1812
Beson,US 1812
Bier,US 1812
Biggs,US 1812
Bigham,US 1812
Bilberback,US 1812
Bilbo,US 1812
Bilderback,US 1812
Bill,US 1812
Biram,US 1812
Bird,US 1812
Birdwell,US 1812
Birmingham,US 1812
Biron,US 1812
Bishop,US 1812
Black,US 1812
Blackburn,US 1812
Blackford,US 1812
Blackman,US 1812
Blackwell,US 1812
Blair,US 1812
Blalock,US 1812
Blane,US 1812
Blankenship,US 1812
Blankinship,US 1812
Blasingham,US 1812
Bledoe,US 1812
Block,US 1812
Bloodworth,US 1812
Bloom,US 1812
Blue,US 1812
Bly,US 1812
Blythe,US 1812
Boatwright,US 1812
Boggs,US 1812
Bogs,US 1812
Boling,US 1812
Bollng,US 1812
Boman,US 1812
Bonds,US 1812
Bone,US 1812
Bonham,US 1812
Bono,US 1812
Boon,US 1812
Boot,US 1812
Boren,US 1812
Borough,US 1812
Borrier,US 1812
Borsby,US 1812
Bosheart,US 1812
Bosley,US 1812
Bosli,US 1812
Boucher,US 1812
Boultinghouse,US 1812
Bounds,US 1812
Bowerman,US 1812
Bowman,US 1812
Bows,US 1812
Box,US 1812
Boyd,US 1812
Bradberry,US 1812
Bradley,US 1812
Bradshaw,US 1812
Bradwater,US 1812
Bragg,US 1812
Braman,US 1812
Bramlett,US 1812
Brashears,US 1812
Brazel,US 1812
Brewster,US 1812
Briant,US 1812
Brickey,US 1812
Bridges,US 1812
Brigance,US 1812
Briggs,US 1812
Brigham,US 1812
Briley,US 1812
Brimberry,US 1812
Brisco,US 1812
Briscoe,US 1812
Britton,US 1812
Brooks,US 1812
Brooksher,US 1812
Broom,US 1812
Brown,US 1812
Brownfield,US 1812
Bruin,US 1812
Brundage,US 1812
Bryan,US 1812
Bryant,US 1812
Brynon,US 1812
Buchan,US 1812
Buck,US 1812
Buckels,US 1812
Buckner,US 1812
Buie,US 1812
Bullen,US 1812
Bullick,US 1812
Bunch,US 1812
Burchfield,US 1812
Burgess,US 1812
Burks,US 1812
Burleson,US 1812
Burlicon,US 1812
Burlisoil,US 1812
Burlison,US 1812
Burney,US 1812
Burris,US 1812
Burrow,US 1812
Burrus,US 1812
Butea,US 1812
Butler,US 1812
Buyat,US 1812
Byram,US 1812
Byrd,US 1812
Cabaniss,US 1812
Cain,US 1812
Calhoun,US 1812
Callier,US 1812
Calvert,US 1812
Campbell,US 1812
Camudy,US 1812
Cannady,US 1812
Cannon,US 1812
Capshaw,US 1812
Carmack,US 1812
Carnes,US 1812
Carothers,US 1812
Carpenter,US 1812
Carr,US 1812
Carrell,US 1812
Carriel,US 1812
Carroll,US 1812
Carson,US 1812
Carter,US 1812
Caruther,US 1812
Cary,US 1812
Casey,US 1812
Castelan,US 1812
Casten,US 1812
Caston,US 1812
Cates,US 1812
Catt,US 1812
Cattersons,US 1812
Cawley,US 1812
Cerns,US 1812
Chaffin,US 1812
Chalfin,US 1812
Chambers,US 1812
Chambliss,US 1812
Chance,US 1812
Charleville,US 1812
Cheatham,US 1812
Chelton,US 1812
Chilcoat,US 1812
Childers,US 1812
Childre,US 1812
Childres,US 1812
Childress,US 1812
