Michael,M,US 1980," " 
Christopher,M,US 1980," " 
Jason,M,US 1980," " 
David,M,US 1980," " 
James,M,US 1980," " 
Matthew,M,US 1980," " 
Joshua,M,US 1980," " 
John,M,US 1980," " 
Robert,M,US 1980," " 
Joseph,M,US 1980," " 
Daniel,M,US 1980," " 
Brian,M,US 1980," " 
Justin,M,US 1980," " 
William,M,US 1980," " 
Ryan,M,US 1980," " 
Eric,M,US 1980," " 
Nicholas,M,US 1980," " 
Jeremy,M,US 1980," " 
Andrew,M,US 1980," " 
Timothy,M,US 1980," " 
Jonathan,M,US 1980," " 
Adam,M,US 1980," " 
Kevin,M,US 1980," " 
Anthony,M,US 1980," " 
Thomas,M,US 1980," " 
Richard,M,US 1980," " 
Jeffrey,M,US 1980," " 
Steven,M,US 1980," " 
Charles,M,US 1980," " 
Brandon,M,US 1980," " 
Mark,M,US 1980," " 
Benjamin,M,US 1980," " 
Scott,M,US 1980," " 
Aaron,M,US 1980," " 
Paul,M,US 1980," " 
Nathan,M,US 1980," " 
Travis,M,US 1980," " 
Patrick,M,US 1980," " 
Chad,M,US 1980," " 
Stephen,M,US 1980," " 
Kenneth,M,US 1980," " 
Gregory,M,US 1980," " 
Jacob,M,US 1980," " 
Dustin,M,US 1980," " 
Jesse,M,US 1980," " 
Jose,M,US 1980," " 
Shawn,M,US 1980," " 
Sean,M,US 1980," " 
Bryan,M,US 1980," " 
Derek,M,US 1980," " 
Bradley,M,US 1980," " 
Edward,M,US 1980," " 
Donald,M,US 1980," " 
Samuel,M,US 1980," " 
Peter,M,US 1980," " 
Keith,M,US 1980," " 
Kyle,M,US 1980," " 
Ronald,M,US 1980," " 
Juan,M,US 1980," " 
George,M,US 1980," " 
Jared,M,US 1980," " 
Douglas,M,US 1980," " 
Gary,M,US 1980," " 
Erik,M,US 1980," " 
Phillip,M,US 1980," " 
Joel,M,US 1980," " 
Raymond,M,US 1980," " 
Corey,M,US 1980," " 
Shane,M,US 1980," " 
Larry,M,US 1980," " 
Marcus,M,US 1980," " 
Zachary,M,US 1980," " 
Craig,M,US 1980," " 
Derrick,M,US 1980," " 
Todd,M,US 1980," " 
Jeremiah,M,US 1980," " 
Antonio,M,US 1980," " 
Carlos,M,US 1980," " 
Shaun,M,US 1980," " 
Dennis,M,US 1980," " 
Frank,M,US 1980," " 
Philip,M,US 1980," " 
Cory,M,US 1980," " 
Brent,M,US 1980," " 
Gabriel,M,US 1980," " 
Nathaniel,M,US 1980," " 
Randy,M,US 1980," " 
Luis,M,US 1980," " 
Curtis,M,US 1980," " 
Jeffery,M,US 1980," " 
Russell,M,US 1980," " 
Alexander,M,US 1980," " 
Casey,M,US 1980," " 
Jerry,M,US 1980," " 
Wesley,M,US 1980," " 
Brett,M,US 1980," " 
Luke,M,US 1980," " 
Lucas,M,US 1980," " 
Seth,M,US 1980," " 
Billy,M,US 1980," " 
Terry,M,US 1980," " 
Carl,M,US 1980," " 
Mario,M,US 1980," " 
Ian,M,US 1980," " 
Jamie,M,US 1980," " 
Troy,M,US 1980," " 
Victor,M,US 1980," " 
Tony,M,US 1980," " 
Bobby,M,US 1980," " 
Jesus,M,US 1980," " 
Vincent,M,US 1980," " 
Alan,M,US 1980," " 
Johnny,M,US 1980," " 
Tyler,M,US 1980," " 
Adrian,M,US 1980," " 
Brad,M,US 1980," " 
Ricardo,M,US 1980," " 
Marc,M,US 1980," " 
Christian,M,US 1980," " 
Danny,M,US 1980," " 
Rodney,M,US 1980," " 
Ricky,M,US 1980," " 
Martin,M,US 1980," " 
Allen,M,US 1980," " 
Lee,M,US 1980," " 
Jimmy,M,US 1980," " 
Jon,M,US 1980," " 
Miguel,M,US 1980," " 
Lawrence,M,US 1980," " 
Willie,M,US 1980," " 
Clinton,M,US 1980," " 
Micheal,M,US 1980," " 
Andre,M,US 1980," " 
Roger,M,US 1980," " 
Henry,M,US 1980," " 
Randall,M,US 1980," " 
Walter,M,US 1980," " 
Kristopher,M,US 1980," " 
Jorge,M,US 1980," " 
Joe,M,US 1980," " 
Jay,M,US 1980," " 
Albert,M,US 1980," " 
Cody,M,US 1980," " 
Manuel,M,US 1980," " 
Roberto,M,US 1980," " 
Wayne,M,US 1980," " 
Arthur,M,US 1980," " 
Gerald,M,US 1980," " 
Jermaine,M,US 1980," " 
Isaac,M,US 1980," " 
Louis,M,US 1980," " 
Lance,M,US 1980," " 
Roy,M,US 1980," " 
Francisco,M,US 1980," " 
Trevor,M,US 1980," " 
Alex,M,US 1980," " 
Bruce,M,US 1980," " 
Evan,M,US 1980," " 
Jack,M,US 1980," " 
Jordan,M,US 1980," " 
Frederick,M,US 1980," " 
Maurice,M,US 1980," " 
Darren,M,US 1980," " 
Mitchell,M,US 1980," " 
Ruben,M,US 1980," " 
Reginald,M,US 1980," " 
Darrell,M,US 1980," " 
Jaime,M,US 1980," " 
Hector,M,US 1980," " 
Omar,M,US 1980," " 
Jonathon,M,US 1980," " 
Angel,M,US 1980," " 
Ronnie,M,US 1980," " 
Johnathan,M,US 1980," " 
Barry,M,US 1980," " 
Oscar,M,US 1980," " 
Eddie,M,US 1980," " 
Jerome,M,US 1980," " 
Terrance,M,US 1980," " 
Ernest,M,US 1980," " 
Neil,M,US 1980," " 
Damien,M,US 1980," " 
Mathew,M,US 1980," " 
Shannon,M,US 1980," " 
Calvin,M,US 1980," " 
Javier,M,US 1980," " 
Alejandro,M,US 1980," " 
Edwin,M,US 1980," " 
Eugene,M,US 1980," " 
Garrett,M,US 1980," " 
Raul,M,US 1980," " 
Kurt,M,US 1980," " 
Clayton,M,US 1980," " 
Clint,M,US 1980," " 
Leonard,M,US 1980," " 
Fernando,M,US 1980," " 
Tommy,M,US 1980," " 
Dale,M,US 1980," " 
Geoffrey,M,US 1980," " 
Steve,M,US 1980," " 
Marvin,M,US 1980," " 
Clifford,M,US 1980," " 
Beau,M,US 1980," " 
Tyrone,M,US 1980," " 
Theodore,M,US 1980," " 
Colin,M,US 1980," " 
Harold,M,US 1980," " 
Kelly,M,US 1980," " 
Rafael,M,US 1980," " 
Terrence,M,US 1980," " 
Austin,M,US 1980," " 
Joey,M,US 1980," " 
Jarrod,M,US 1980," " 
Glenn,M,US 1980," " 
Ramon,M,US 1980," " 
Cameron,M,US 1980," " 
Grant,M,US 1980," " 
Melvin,M,US 1980," " 
Brendan,M,US 1980," " 
Jessie,M,US 1980," " 
Stanley,M,US 1980," " 
Armando,M,US 1980," " 
Pedro,M,US 1980," " 
Dwayne,M,US 1980," " 
Karl,M,US 1980," " 
Levi,M,US 1980," " 
Eduardo,M,US 1980," " 
Micah,M,US 1980," " 
Ross,M,US 1980," " 
Ralph,M,US 1980," " 
Byron,M,US 1980," " 
Dominic,M,US 1980," " 
Marco,M,US 1980," " 
Chris,M,US 1980," " 
Caleb,M,US 1980," " 
Devin,M,US 1980," " 
Blake,M,US 1980," " 
Andy,M,US 1980," " 
Sergio,M,US 1980," " 
Erick,M,US 1980," " 
Noah,M,US 1980," " 
Howard,M,US 1980," " 
Francis,M,US 1980," " 
Tyson,M,US 1980," " 
Cedric,M,US 1980," " 
Heath,M,US 1980," " 
Ivan,M,US 1980," " 
Leon,M,US 1980," " 
Alberto,M,US 1980," " 
Earl,M,US 1980," " 
Damon,M,US 1980," " 
Edgar,M,US 1980," " 
Franklin,M,US 1980," " 
Alvin,M,US 1980," " 
Alfred,M,US 1980," " 
Courtney,M,US 1980," " 
Clarence,M,US 1980," " 
Harry,M,US 1980," " 
Darryl,M,US 1980," " 
Nicolas,M,US 1980," " 
Ray,M,US 1980," " 
Gilbert,M,US 1980," " 
Marshall,M,US 1980," " 
Cesar,M,US 1980," " 
Dylan,M,US 1980," " 
Alfredo,M,US 1980," " 
Dean,M,US 1980," " 
Warren,M,US 1980," " 
Clifton,M,US 1980," " 
Julio,M,US 1980," " 
Enrique,M,US 1980," " 
Kirk,M,US 1980," " 
Abraham,M,US 1980," " 
Bernard,M,US 1980," " 
Arturo,M,US 1980," " 
Daryl,M,US 1980," " 
Preston,M,US 1980," " 
Roderick,M,US 1980," " 
Elijah,M,US 1980," " 
Julian,M,US 1980," " 
Antoine,M,US 1980," " 
Ashley,M,US 1980," " 
Orlando,M,US 1980," " 
Andres,M,US 1980," " 
Wade,M,US 1980," " 
Norman,M,US 1980," " 
Duane,M,US 1980," " 
Drew,M,US 1980," " 
Spencer,M,US 1980," " 
Vernon,M,US 1980," " 
Morgan,M,US 1980," " 
Ethan,M,US 1980," " 
Leroy,M,US 1980," " 
Demetrius,M,US 1980," " 
Lonnie,M,US 1980," " 
Brock,M,US 1980," " 
Nelson,M,US 1980," " 
Nickolas,M,US 1980," " 
Dallas,M,US 1980," " 
Rene,M,US 1980," " 
Israel,M,US 1980," " 
Bryce,M,US 1980," " 
Salvador,M,US 1980," " 
Toby,M,US 1980," " 
Lewis,M,US 1980," " 
Ernesto,M,US 1980," " 
Gerardo,M,US 1980," " 
Bradford,M,US 1980," " 
Marcos,M,US 1980," " 
Fredrick,M,US 1980," " 
Taylor,M,US 1980," " 
Lamar,M,US 1980," " 
Bryant,M,US 1980," " 
Kelvin,M,US 1980," " 
Terrell,M,US 1980," " 
Jayson,M,US 1980," " 
Jody,M,US 1980," " 
Angelo,M,US 1980," " 
Don,M,US 1980," " 
Glen,M,US 1980," " 
Rocky,M,US 1980," " 
Charlie,M,US 1980," " 
Neal,M,US 1980," " 
Lorenzo,M,US 1980," " 
Fred,M,US 1980," " 
Damian,M,US 1980," " 
Jamal,M,US 1980," " 
Trent,M,US 1980," " 
Rickey,M,US 1980," " 
